latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.043,-123.302,319.5,1,1,2020-10-02,1910,T,38,6.0NRT,295.9,12.9,D
41.033,-123.299,323.7,1,1,2020-10-02,1910,T,64,6.0NRT,297,16.8,D
41.024,-123.302,344.6,1,1,2020-10-02,1910,T,93,6.0NRT,298.5,47.2,D
41.015,-123.304,352.6,1,1,2020-10-02,1910,T,97,6.0NRT,298.5,63.2,D
41.007,-123.306,327.7,1,1,2020-10-02,1910,T,59,6.0NRT,296.7,21.9,D
41.001,-123.332,323.3,1,1,2020-10-02,1910,T,79,6.0NRT,294.3,19.5,D
40.999,-123.32,348.2,1,1,2020-10-02,1910,T,95,6.0NRT,298.2,56.9,D
40.998,-123.308,334.3,1,1,2020-10-02,1910,T,87,6.0NRT,296.2,31.8,D
40.421,-123.351,312,1,1,2020-10-02,1910,T,14,6.0NRT,295.8,7.1,D
40.417,-123.388,324.5,1,1,2020-10-02,1910,T,75,6.0NRT,295.9,19.4,D
40.414,-123.365,325.6,1,1,2020-10-02,1910,T,63,6.0NRT,296.9,18.7,D
40.412,-123.354,333.6,1,1,2020-10-02,1910,T,86,6.0NRT,298.3,29.4,D
40.41,-123.342,334.6,1,1,2020-10-02,1910,T,86,6.0NRT,299.3,30.4,D
40.408,-123.33,325.1,1,1,2020-10-02,1910,T,67,6.0NRT,299.3,18.7,D
40.397,-123.321,323.5,1,1,2020-10-02,1910,T,77,6.0NRT,297.3,19.3,D
40.377,-123.247,314.9,1,1,2020-10-02,1910,T,62,6.0NRT,294.6,10.5,D
40.371,-123.211,315.6,1,1,2020-10-02,1910,T,64,6.0NRT,295.9,11.1,D
40.393,-123.413,315.1,1,1,2020-10-02,1910,T,47,6.0NRT,295.3,10,D
40.363,-123.396,336.4,1,1,2020-10-02,1910,T,83,6.0NRT,300.2,34.3,D
40.354,-123.398,377.8,1,1,2020-10-02,1910,T,71,6.0NRT,307.6,142.5,D
40.352,-123.387,332.9,1,1,2020-10-02,1910,T,80,6.0NRT,303.2,28.9,D
40.308,-123.106,326.5,1,1,2020-10-02,1910,T,33,6.0NRT,296.5,19.9,D
40.308,-123.465,318.9,1,1,2020-10-02,1915,T,69,6.0NRT,298.9,12.5,D
40.307,-123.453,320.2,1,1,2020-10-02,1915,T,71,6.0NRT,298.5,13,D
40.254,-123.114,325.1,1,1,2020-10-02,1915,T,52,6.0NRT,295,19,D
40.241,-123.093,312.7,1,1,2020-10-02,1915,T,49,6.0NRT,293.1,9.2,D
40.244,-123.288,315.5,1,1,2020-10-02,1915,T,62,6.0NRT,296.6,10.6,D
40.212,-123.32,321.1,1,1,2020-10-02,1915,T,39,6.0NRT,296.1,13.8,D
40.226,-123.469,321.6,1,1,2020-10-02,1915,T,72,6.0NRT,296.5,15.8,D
40.224,-123.457,338.6,1,1,2020-10-02,1915,T,89,6.0NRT,300.4,38.1,D
40.222,-123.445,329.8,1,1,2020-10-02,1915,T,82,6.0NRT,298.3,24.6,D
40.209,-123.363,315.5,1,1,2020-10-02,1915,T,37,6.0NRT,296.1,10.3,D
40.206,-123.34,314.9,1,1,2020-10-02,1915,T,26,6.0NRT,298.4,9.2,D
40.215,-123.459,311.2,1,1,2020-10-02,1915,T,12,6.0NRT,294.7,6.9,D
40.071,-122.9,319.5,1,1,2020-10-02,1915,T,49,6.0NRT,298.5,11.2,D
40.07,-122.888,318.4,1,1,2020-10-02,1915,T,47,6.0NRT,301.1,11.1,D
40.061,-122.89,327.6,1,1,2020-10-02,1915,T,77,6.0NRT,300.6,20.4,D
41.634,-87.139,310,1.5,1.2,2020-10-02,1915,A,43,6.0NRT,289.8,15.9,D
40.741,-105.604,331.3,4.2,1.9,2020-10-02,1915,A,85,6.0NRT,291.7,222.4,D
40.73,-105.648,318.3,4.2,1.9,2020-10-02,1915,A,59,6.0NRT,288.9,105.6,D
40.746,-105.654,313.6,4.2,1.9,2020-10-02,1915,A,26,6.0NRT,290.8,80.5,D
40.734,-105.698,318.3,4.3,1.9,2020-10-02,1915,A,62,6.0NRT,286.4,116.3,D
40.729,-105.607,325.1,4.2,1.9,2020-10-02,1915,A,65,6.0NRT,290.7,157.6,D
40.733,-105.656,324.1,4.2,1.9,2020-10-02,1915,A,80,6.0NRT,288.5,161,D
40.72,-105.704,317,4.3,1.9,2020-10-02,1915,A,63,6.0NRT,286.7,108.5,D
40.927,-106.263,328,4.5,2,2020-10-02,1915,A,0,6.0NRT,284.7,218.6,D
40.928,-106.272,325.1,4.5,2,2020-10-02,1915,A,0,6.0NRT,284.2,185.8,D
41.164,-106.163,310.6,4.4,1.9,2020-10-02,1915,A,58,6.0NRT,288,74.2,D
41.167,-106.172,313.2,4.4,1.9,2020-10-02,1915,A,67,6.0NRT,288.1,91.7,D
41.209,-106.423,322,4.5,2,2020-10-02,1915,A,30,6.0NRT,292.3,137.6,D
41.194,-106.477,327.8,4.5,2,2020-10-02,1915,A,70,6.0NRT,294.5,186.5,D
41.21,-106.426,321.2,4.5,2,2020-10-02,1915,A,64,6.0NRT,291.7,147.6,D
41.195,-106.48,324.2,4.5,2,2020-10-02,1915,A,80,6.0NRT,294.2,168,D
49.031,-99.68,306.3,1.2,1.1,2020-10-02,1915,A,34,6.0NRT,282.3,8.1,D
51.02,-106.175,307,2.1,1.4,2020-10-02,1915,A,62,6.0NRT,290.2,19.4,D
52.639,-107.051,311,2.1,1.4,2020-10-02,1920,A,70,6.0NRT,292.2,22.7,D
52.647,-107.028,303.4,2,1.4,2020-10-02,1920,A,54,6.0NRT,290,11.1,D
52.64,-107.056,309.1,2.1,1.4,2020-10-02,1920,A,67,6.0NRT,292.2,21.7,D
40.69,-105.75,306.3,3.3,1.7,2020-10-02,2050,A,27,6.0NRT,284.7,27.4,D
40.685,-105.754,305.7,3.3,1.7,2020-10-02,2050,A,35,6.0NRT,284.9,29.2,D
40.739,-105.598,320.8,3.4,1.7,2020-10-02,2050,A,68,6.0NRT,286.3,100.8,D
40.737,-105.641,313.3,3.4,1.7,2020-10-02,2050,A,68,6.0NRT,286,61.1,D
40.736,-105.607,322.1,3.4,1.7,2020-10-02,2050,A,47,6.0NRT,286.9,98.5,D
40.556,-110.671,303.3,1.7,1.3,2020-10-02,2050,A,31,6.0NRT,269.5,17.7,D
40.554,-110.688,302.5,1.6,1.3,2020-10-02,2050,A,22,6.0NRT,272.6,16.3,D
40.912,-106.305,317.8,3.1,1.7,2020-10-02,2050,A,72,6.0NRT,292.6,58.5,D
40.931,-106.239,338.7,3.1,1.7,2020-10-02,2050,A,85,6.0NRT,288.1,192.3,D
40.929,-106.274,363.6,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,295.2,465.1,D
40.927,-106.309,387.4,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,304.1,915.5,D
40.925,-106.344,371.4,3,1.7,2020-10-02,2050,A,100,6.0NRT,303,582.5,D
40.914,-106.279,320.2,3.1,1.7,2020-10-02,2050,A,68,6.0NRT,292.3,70.8,D
40.913,-106.314,315.3,3.1,1.7,2020-10-02,2050,A,55,6.0NRT,292.9,45.5,D
40.607,-110.746,347.6,1.6,1.3,2020-10-02,2050,A,95,6.0NRT,280.9,121,D
40.605,-110.767,315.4,1.6,1.3,2020-10-02,2050,A,41,6.0NRT,278.7,30.1,D
40.931,-106.247,344.1,3.1,1.7,2020-10-02,2050,A,84,6.0NRT,289.3,231.3,D
40.929,-106.282,372.5,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,297.5,603.7,D
40.927,-106.317,387.4,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,304.7,909.2,D
40.926,-106.353,352.6,3,1.7,2020-10-02,2050,A,97,6.0NRT,301.6,308.1,D
40.618,-110.748,311.5,1.6,1.3,2020-10-02,2050,A,58,6.0NRT,273.3,24.5,D
40.946,-106.249,339.2,3.1,1.7,2020-10-02,2050,A,42,6.0NRT,289.4,169.7,D
40.944,-106.285,364.4,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,299.2,455.2,D
40.942,-106.319,347.6,3.1,1.7,2020-10-02,2050,A,90,6.0NRT,299,244.7,D
40.957,-106.32,330.7,3.1,1.7,2020-10-02,2050,A,84,6.0NRT,298.5,108.5,D
40.955,-106.354,320,3,1.7,2020-10-02,2050,A,56,6.0NRT,298.4,54,D
40.976,-106.251,366.3,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,293.3,518.9,D
40.974,-106.286,352.6,3.1,1.7,2020-10-02,2050,A,90,6.0NRT,298.3,290.4,D
40.972,-106.321,339.9,3.1,1.7,2020-10-02,2050,A,52,6.0NRT,301.4,162.2,D
40.991,-106.252,462.1,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,320.1,4506.7,D
40.989,-106.288,394.1,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,312.4,1061.5,D
41.006,-106.253,390.2,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,297.5,992.7,D
41.004,-106.29,393.4,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,307.4,1039.8,D
41.021,-106.254,324.3,3.1,1.7,2020-10-02,2050,A,42,6.0NRT,289.3,94.9,D
41.019,-106.29,378.8,3.1,1.7,2020-10-02,2050,A,100,6.0NRT,299.5,706.1,D
41.017,-106.324,347.4,3.1,1.7,2020-10-02,2050,A,74,6.0NRT,302.1,210.7,D
